lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-6.094144546e-15,3.080997524e-15,0.8159038891,0.344740428,0.784545119
29.9792458,10,refl,0,0,0.2095845022,-6.053916669e-15,3.90125646e-15,-0.1851662198,0.3573543042,0.1619886277
27.25385982,11,trans,0,0,0.2305429524,-4.520598288e-15,9.460563129e-16,0.769618304,0.3895715605,0.7440783346
27.25385982,11,refl,0,0,0.2305429524,-4.651570363e-15,1.806797875e-15,-0.2245058368,0.4043276342,0.2138837065
24.98270483,12,trans,0,0,0.2515014026,-3.661830618e-15,-1.171219891e-15,0.7046576262,0.4326135317,0.6836968379
24.98270483,12,refl,0,0,0.2515014026,-4.163131464e-15,-5.485887222e-16,-0.2824455835,0.4428755043,0.2759142199
23.06095831,13,trans,0,0,0.2724598529,-1.668181377e-15,-9.02183537e-16,0.6320582486,0.4644996763,0.615257579
23.06095831,13,refl,0,0,0.2724598529,-1.940541784e-15,-7.043098326e-16,-0.3534616068,0.4681665359,0.3441150128
21.413747,14,trans,0,0,0.2934183031,-1.976400941e-15,-1.075616273e-15,0.5483698515,0.4848846633,0.5358226307
21.413747,14,refl,0,0,0.2934183031,-1.674243742e-15,-1.128033163e-15,-0.4413472056,0.4855896652,0.4305846788
19.98616387,15,trans,0,0,0.3143767533,-1.956229942e-15,1.317073172e-16,0.438205023,0.4830015057,0.4253140966
19.98616387,15,refl,0,0,0.3143767533,-1.190284985e-15,8.281360832e-17,-0.5564579128,0.4864086754,0.5462388083
18.73702863,16,trans,0,0,0.3353352035,-9.472261018e-16,-2.128933936e-15,0.2940203522,0.4247856332,0.2668908017
18.73702863,16,refl,0,0,0.3353352035,-5.916431022e-17,-1.911792889e-15,-0.7042815572,0.4342835462,0.6846147103
17.63485047,17,trans,0,0,0.3562936537,-2.875131936e-16,-3.939868628e-15,0.1548222077,0.2671916771,0.09536130834
17.63485047,17,refl,0,0,0.3562936537,3.841022652e-16,-3.631977862e-15,-0.8491061784,0.280486175,0.7996537965
16.65513656,18,trans,0,0,0.377252104,1.993242792e-15,-9.238216011e-16,0.1017478322,0.01200457109,0.01049673108
16.65513656,18,refl,0,0,0.377252104,2.389325573e-15,-7.179920869e-16,-0.9059474718,0.02264027388,0.8212534037
15.77855042,19,trans,0,0,0.3982105542,7.147453664e-16,1.414448487e-15,0.2295488309,-0.2773205677,0.129599363
15.77855042,19,trans,-1,0,0.06602330411,-5.867536857e-17,5.197817518e-17,-2.568927757e-17,-1.352911867e-16,2.510817376e-32
15.77855042,19,trans,0,-1,0.06602330411,-3.530668655e-17,7.292187956e-17,-3.30649736e-17,7.493098923e-17,1.327210826e-32
15.77855042,19,trans,0,1,0.06602330411,-2.010043612e-17,5.991778296e-17,-3.246929856e-17,6.903625997e-17,9.814428787e-33
15.77855042,19,trans,1,0,0.06602330411,-1.028200929e-16,8.310811576e-17,-4.476547603e-17,-1.398604037e-16,3.904381078e-32
15.77855042,19,refl,0,0,0.3982105542,1.433247702e-15,1.296318176e-15,-0.7709675673,-0.2678696311,0.6661451291
15.77855042,19,refl,-1,0,0.06602330411,-5.930713984e-17,5.067569952e-17,4.008802053e-17,1.579135086e-16,3.262908895e-32
15.77855042,19,refl,0,-1,0.06602330411,-3.481355508e-17,7.159396329e-17,3.874567883e-17,-7.678739865e-17,1.373521142e-32
15.77855042,19,refl,0,1,0.06602330411,-1.917605963e-17,5.728980823e-17,4.113794078e-17,-7.624480899e-17,1.115544446e-32
15.77855042,19,refl,1,0,0.06602330411,-1.02084146e-16,7.98555427e-17,5.257475903e-17,1.492701753e-16,4.184377108e-32
14.9896229,20,trans,0,0,0.4191690044,-4.849823601e-15,-2.507555033e-15,0.5889653969,-0.3887180952,0.4979819963
14.9896229,20,trans,-1,0,0.1465949708,-7.856314891e-17,-1.757317999e-16,1.746848527e-16,4.617502072e-17,6.970076416e-32
14.9896229,20,trans,0,-1,0.1465949708,-1.094659222e-16,5.314337307e-17,1.165641374e-16,4.009082607e-17,3.000147869e-32
14.9896229,20,trans,0,1,0.1465949708,-1.350394499e-16,-1.389082179e-16,1.132772567e-16,3.851558811e-17,5.184633344e-32
14.9896229,20,trans,1,0,0.1465949708,-8.13810238e-17,-2.212318939e-16,1.794114386e-16,6.240207746e-17,9.164890548e-32
14.9896229,20,refl,0,0,0.4191690044,-3.641124313e-15,-1.904648189e-15,-0.3996360542,-0.3659815364,0.2936514608
14.9896229,20,refl,-1,0,0.1465949708,-7.72940991e-17,-1.755698076e-16,-1.681654975e-16,-4.820005466e-17,6.74020149e-32
14.9896229,20,refl,0,-1,0.1465949708,-1.116311223e-16,4.740983463e-17,-1.124225682e-16,-4.452002463e-17,2.933006632e-32
14.9896229,20,refl,0,1,0.1465949708,-1.353990687e-16,-1.431152198e-16,-1.082093246e-16,-4.293210999e-17,5.236729796e-32
14.9896229,20,refl,1,0,0.1465949708,-7.836186723e-17,-2.195559685e-16,-1.728447216e-16,-6.903191246e-17,8.898610826e-32
14.27583133,21,trans,0,0,0.4401274546,-1.204564399e-16,-3.805709632e-15,0.900054831,-0.1081004971,0.8217844162
14.27583133,21,trans,-1,0,0.1987450818,-7.862506185e-17,3.815668609e-17,2.231643117e-16,-2.353227936e-16,1.128169602e-31
14.27583133,21,trans,0,-1,0.1987450818,-2.602734445e-16,-7.801634745e-18,-2.919180278e-17,-1.484397175e-16,9.06896425e-32
14.27583133,21,trans,0,1,0.1987450818,-2.670759978e-16,-1.699917439e-17,-2.497720406e-17,-1.587745968e-16,9.745179384e-32
14.27583133,21,trans,1,0,0.1987450818,-8.70737096e-17,5.26983968e-17,2.195808202e-16,-2.286250155e-16,1.108440862e-31
14.27583133,21,refl,0,0,0.4401274546,-1.521065263e-16,-3.989896014e-15,-0.09432183842,-0.08848065408,0.01672543535
14.27583133,21,refl,-1,0,0.1987450818,-7.804392068e-17,3.761684389e-17,-2.236695055e-16,2.378534897e-16,1.141082108e-31
14.27583133,21,refl,0,-1,0.1987450818,-2.589087255e-16,-7.261234267e-18,3.036986177e-17,1.50109697e-16,9.05417033e-32
14.27583133,21,refl,0,1,0.1987450818,-2.659632042e-16,-1.815464311e-17,2.613329673e-17,1.603596957e-16,9.746419824e-32
14.27583133,21,refl,1,0,0.1987450818,-8.67564306e-17,5.208374591e-17,-2.198840493e-16,2.290006402e-16,1.110296832e-31
13.62692991,22,trans,0,0,0.4610859048,2.872594408e-15,-1.926451535e-15,0.7964488883,0.2810402875,0.7133144749
13.62692991,22,trans,-1,0,0.241635351,5.268005268e-17,-9.629800888e-17,-1.037714581e-16,-1.004810421e-16,3.291344981e-32
13.62692991,22,trans,0,-1,0.241635351,-9.383894484e-18,1.56785983e-17,-7.875749553e-18,-4.148828183e-17,2.117180881e-33
13.62692991,22,trans,0,1,0.241635351,-6.912808166e-17,-6.69046063e-17,2.728920618e-18,-4.143180925e-17,1.097895984e-32
13.62692991,22,trans,1,0,0.241635351,-5.438407452e-17,-8.602857706e-17,-1.19261998e-16,-4.803688683e-17,2.688951029e-32
13.62692991,22,refl,0,0,0.4610859048,3.086478644e-15,-2.032391934e-15,-0.1981309976,0.3014927871,0.1301537929
13.62692991,22,refl,-1,0,0.241635351,5.332754439e-17,-9.432916703e-17,1.008220646e-16,1.029272723e-16,3.250093084e-32
13.62692991,22,refl,0,-1,0.241635351,-1.109506166e-17,1.662309776e-17,7.936707075e-18,4.306207143e-17,2.316761088e-33
13.62692991,22,refl,0,1,0.241635351,-7.099518381e-17,-6.673756337e-17,-2.518063862e-18,4.290177391e-17,1.134112134e-32
13.62692991,22,refl,1,0,0.241635351,-5.408872097e-17,-8.481949659e-17,1.165149807e-16,4.863635846e-17,2.606117282e-32
13.0344547,23,trans,0,0,0.482044355,2.259919414e-15,9.973740434e-16,0.3970576103,0.3868130441,0.3072790769
13.0344547,23,trans,-1,0,0.2795607116,-1.02941016e-16,3.499269341e-17,-1.599255078e-17,1.182946656e-16,2.607073096e-32
13.0344547,23,trans,0,-1,0.2795607116,-8.531923357e-17,1.849441063e-17,1.108519751e-16,5.807875769e-17,2.328271732e-32
13.0344547,23,trans,0,1,0.2795607116,2.799836746e-17,-5.735865695e-17,1.033675233e-16,6.079916994e-17,1.845530805e-32
13.0344547,23,trans,1,0,0.2795607116,-8.96677098e-17,-4.620437173e-17,-6.279147614e-17,1.037620471e-16,2.488447404e-32
13.0344547,23,refl,0,0,0.482044355,2.502516246e-15,1.12371075e-15,-0.5974494296,0.40720893,0.5227649336
13.0344547,23,refl,-1,0,0.2795607116,-1.040567959e-16,3.421237354e-17,1.709712504e-17,-1.172937564e-16,2.604844025e-32
13.0344547,23,refl,0,-1,0.2795607116,-8.583794538e-17,2.033399838e-17,-1.114374268e-16,-5.72648175e-17,2.347918378e-32
13.0344547,23,refl,0,1,0.2795607116,2.740576833e-17,-5.638673238e-17,-1.03830284e-16,-6.005490783e-17,1.831785955e-32
13.0344547,23,refl,1,0,0.2795607116,-9.040114086e-17,-4.721310175e-17,6.380057466e-17,-1.048297493e-16,2.546123292e-32
12.49135242,24,trans,0,0,0.5030028053,3.765658114e-16,8.583100447e-16,0.1000106868,0.07541909383,0.01569017719
12.49135242,24,trans,-1,0,0.3143234852,-3.418685883e-17,-5.820659131e-17,2.696799529e-16,2.093307563e-16,1.211033911e-31
12.49135242,24,trans,0,-1,0.3143234852,-3.474286145e-16,-2.975454761e-16,1.281564454e-17,-1.233347718e-17,2.095563079e-31
12.49135242,24,trans,0,1,0.3143234852,-2.323433642e-16,-3.347195743e-16,2.90249932e-17,3.564857043e-18,1.668757907e-31
12.49135242,24,trans,1,0,0.3143234852,-1.963871438e-17,-1.021361632e-16,1.862949693e-16,1.892718266e-16,8.134711487e-32
12.49135242,24,refl,0,0,0.5030028053,5.524192668e-16,1.23094229e-15,-0.8936206133,0.09627955985,0.8078275542
12.49135242,24,refl,-1,0,0.3143234852,-3.424297659e-17,-5.695996411e-17,-2.739532881e-16,-2.105826474e-16,1.238124744e-31
12.49135242,24,refl,0,-1,0.3143234852,-3.462430767e-16,-2.936369367e-16,-1.303374614e-17,1.131802376e-17,2.06404895e-31
