lam_um,f_THz,side,n1,n2,kz_rad_per_um,Re_S_TE,Im_S_TE,Re_S_TM,Im_S_TM,power
29.9792458,10,trans,0,0,0.2095845022,-5.515964882e-15,-4.321777519e-16,0.8797638941,0.2918983807,0.859189174
29.9792458,10,refl,0,0,0.2095845022,-5.734414874e-15,-2.410893481e-17,-0.114014217,0.2987395667,0.1022445704
27.25385982,11,trans,0,0,0.2305429524,-5.905737495e-15,3.86715443e-16,0.8503189145,0.3318433977,0.8331622969
27.25385982,11,refl,0,0,0.2305429524,-5.729899891e-15,9.286317162e-16,-0.145163467,0.3404654892,0.1369891815
24.98270483,12,trans,0,0,0.2515014026,-5.921313308e-15,1.804622589e-15,0.8069527006,0.3729979457,0.7903001285
24.98270483,12,refl,0,0,0.2515014026,-5.707424734e-15,2.004199478e-15,-0.1881939716,0.3752860889,0.1762566194
23.06095831,13,trans,0,0,0.2724598529,-5.772416043e-15,1.43702285e-15,0.7461789673,0.4105893535,0.7253666684
23.06095831,13,refl,0,0,0.2724598529,-5.411937838e-15,1.373332044e-15,-0.2493520011,0.4034124923,0.2249180594
21.413747,14,trans,0,0,0.2934183031,-5.217827412e-15,-1.988394728e-15,0.6439739403,0.431294943,0.6007177637
21.413747,14,refl,0,0,0.2934183031,-4.948301415e-15,-1.843250168e-15,-0.3532327435,0.4287848619,0.3086298289
19.98616387,15,trans,0,0,0.3143767533,4.773136419e-16,-2.866499546e-15,0.4175285746,0.3200384535,0.2767547224
19.98616387,15,refl,0,0,0.3143767533,-1.296749086e-16,-2.780343813e-15,-0.5788042396,0.3344264788,0.4468554175
18.73702863,16,trans,0,0,0.3353352035,-1.109378469e-15,-6.323454941e-15,0.8243363545,0.2837601571,0.7600502522
18.73702863,16,refl,0,0,0.3353352035,-8.738787162e-16,-6.881559883e-15,-0.1795415586,0.3054411869,0.12552949
17.63485047,17,trans,0,0,0.3562936537,1.714652028e-15,-3.674015493e-16,0.5460497757,0.4546106852,0.5048412326
17.63485047,17,refl,0,0,0.3562936537,1.90892011e-15,-4.42916141e-16,-0.4549570764,0.4660076104,0.4241490343
16.65513656,18,trans,0,0,0.377252104,-2.685024355e-16,-2.301755621e-15,0.2348788735,0.3230204444,0.1595102927
16.65513656,18,refl,0,0,0.377252104,1.12920922e-16,-2.362790474e-15,-0.7635326262,0.3228623904,0.6872221944
15.77855042,19,trans,0,0,0.3982105542,-1.164088024e-15,-2.306488228e-16,0.5755339612,-0.07921933704,0.3375150439
15.77855042,19,trans,-1,0,0.06602330411,2.68213074e-16,2.42331419e-16,-0.1859807386,0.1754956618,0.06538756242
15.77855042,19,trans,0,-1,0.06602330411,0.1301171677,0.07971144955,1.752455112e-11,3.512270029e-12,0.02328439253
15.77855042,19,trans,0,1,0.06602330411,0.1301171677,0.07971144955,-1.752292943e-11,-3.507892601e-12,0.02328439253
15.77855042,19,trans,1,0,0.06602330411,2.627729809e-16,5.89343417e-16,-0.1859807385,0.1754956618,0.06538756241
15.77855042,19,refl,0,0,0.3982105542,-6.767591031e-16,1.006867378e-16,-0.4185690578,-0.06175695444,0.1790139776
15.77855042,19,refl,-1,0,0.06602330411,-1.342796309e-15,-1.955136483e-16,0.2033740418,-0.205741482,0.08369055829
15.77855042,19,refl,0,-1,0.06602330411,0.1281649035,0.0839241136,-7.331376102e-12,-1.179600031e-12,0.02346949934
15.77855042,19,refl,0,1,0.06602330411,0.1281649035,0.0839241136,7.32691649e-12,1.181517787e-12,0.02346949934
15.77855042,19,refl,1,0,0.06602330411,-1.497509259e-15,2.091963066e-16,0.2033740418,-0.2057414819,0.08369055826
14.9896229,20,trans,0,0,0.4191690044,-4.858587963e-16,-8.620029625e-16,0.6232668486,0.0713404255,0.3935510208
14.9896229,20,trans,-1,0,0.1465949708,3.783085858e-16,-4.403868428e-16,-0.2168199717,0.1383668875,0.06615629572
14.9896229,20,trans,0,-1,0.1465949708,0.1375105034,0.1075732789,2.621568738e-11,3.841946883e-12,0.03048114889
14.9896229,20,trans,0,1,0.1465949708,0.1375105034,0.1075732789,-2.621683098e-11,-3.840980209e-12,0.03048114889
